"4500733","dbergevin","2012-03-05 18:52:38 -0500"
"4500733","dbergevin","2012-03-05 18:52:42 -0500"
"4500733","dbergevin","2012-03-05 19:47:15 -0500"
"4500733","dbergevin","2012-03-05 19:47:30 -0500"
"4500733","dbergevin","2012-03-05 19:50:50 -0500"
"4500733","dbergevin","2012-03-05 20:00:48 -0500"
"4500733","dbergevin","2012-03-05 20:08:49 -0500"
"4500733","dbergevin","2012-03-05 20:16:00 -0500"
"4500733","dbergevin","2012-03-05 20:17:57 -0500"
"4500733","dbergevin","2012-03-05 20:19:00 -0500"
"4500733","dbergevin","2012-03-05 20:43:36 -0500"
"4500733","dbergevin","2012-03-05 20:44:21 -0500"
"4500733","dbergevin","2012-03-05 20:57:50 -0500"
"4500733","dbergevin","2012-03-06 09:45:36 -0500"
"4500733","dbergevin","2012-03-06 09:47:26 -0500"
"4500733","dbergevin","2012-03-06 09:51:15 -0500"
"4500733","dbergevin","2012-03-06 09:53:15 -0500"
"4500733","dbergevin","2012-03-06 09:53:45 -0500"
"4500733","dbergevin","2012-03-06 09:54:23 -0500"
"4500733","dbergevin","2012-03-06 09:55:37 -0500"
"4500733","dbergevin","2012-03-06 09:56:02 -0500"
"4500733","dbergevin","2012-03-06 09:56:25 -0500"
"4500733","dbergevin","2012-03-06 13:48:13 -0500"
"4500733","dbergevin","2012-03-06 13:57:59 -0500"
"4500733","dbergevin","2012-03-06 14:05:44 -0500"
"4500733","dbergevin","2012-03-06 14:21:44 -0500"
"4500733","dbergevin","2012-03-06 15:57:22 -0500"
"4500733","dbergevin","2012-03-06 16:05:32 -0500"
"4500733","dbergevin","2012-03-06 21:10:06 -0500"
"4500733","dbergevin","2012-03-06 21:17:33 -0500"
"4500733","dbergevin","2012-03-06 22:40:00 -0500"
"4500733","dbergevin","2012-03-07 00:12:30 -0500"
"4450522","efpasquale","2012-03-07 00:45:53 -0500"
"4474691","EvaLewis","2012-03-07 07:07:24 -0500"
"4474691","evalewis","2012-03-07 07:08:47 -0500"
"4500733","dbergevin","2012-03-07 10:34:48 -0500"
"4500733","dbergevin","2012-03-07 10:46:49 -0500"
"4500733","Dbergevin","2012-03-07 10:48:24 -0500"
"4500733","Dbergevin","2012-03-07 10:48:25 -0500"
"4500733","Dbergevin","2012-03-07 10:53:29 -0500"
"4500733","dbergevin","2012-03-07 11:35:32 -0500"
